dataset,row_id,column,dimension_quality,rule,observed_value,severity,action
solutions,52,year,VALIDITY,YEAR_OUT_OF_RANGE,1962.0,WARNING,Preserved for investigation
solutions,53,year,VALIDITY,YEAR_OUT_OF_RANGE,1962.0,WARNING,Preserved for investigation
solutions,54,year,VALIDITY,YEAR_OUT_OF_RANGE,1962.0,WARNING,Preserved for investigation
solutions,55,year,VALIDITY,YEAR_OUT_OF_RANGE,1962.0,WARNING,Preserved for investigation
solutions,56,year,VALIDITY,YEAR_OUT_OF_RANGE,1962.0,WARNING,Preserved for investigation
solutions,57,year,VALIDITY,YEAR_OUT_OF_RANGE,1962.0,WARNING,Preserved for investigation
solutions,58,year,VALIDITY,YEAR_OUT_OF_RANGE,1962.0,WARNING,Preserved for investigation
solutions,59,year,VALIDITY,YEAR_OUT_OF_RANGE,1962.0,WARNING,Preserved for investigation
solutions,60,year,VALIDITY,YEAR_OUT_OF_RANGE,1962.0,WARNING,Preserved for investigation
solutions,61,year,VALIDITY,YEAR_OUT_OF_RANGE,1962.0,WARNING,Preserved for investigation
solutions,62,year,VALIDITY,YEAR_OUT_OF_RANGE,1962.0,WARNING,Preserved for investigation
solutions,63,year,VALIDITY,YEAR_OUT_OF_RANGE,1962.0,WARNING,Preserved for investigation
solutions,64,year,VALIDITY,YEAR_OUT_OF_RANGE,1962.0,WARNING,Preserved for investigation
solutions,65,year,VALIDITY,YEAR_OUT_OF_RANGE,1963.0,WARNING,Preserved for investigation
solutions,66,year,VALIDITY,YEAR_OUT_OF_RANGE,1963.0,WARNING,Preserved for investigation
solutions,67,year,VALIDITY,YEAR_OUT_OF_RANGE,1963.0,WARNING,Preserved for investigation
solutions,68,year,VALIDITY,YEAR_OUT_OF_RANGE,1963.0,WARNING,Preserved for investigation
solutions,69,year,VALIDITY,YEAR_OUT_OF_RANGE,1963.0,WARNING,Preserved for investigation
solutions,70,year,VALIDITY,YEAR_OUT_OF_RANGE,1963.0,WARNING,Preserved for investigation
solutions,71,year,VALIDITY,YEAR_OUT_OF_RANGE,1963.0,WARNING,Preserved for investigation
solutions,72,year,VALIDITY,YEAR_OUT_OF_RANGE,1963.0,WARNING,Preserved for investigation
solutions,73,year,VALIDITY,YEAR_OUT_OF_RANGE,1963.0,WARNING,Preserved for investigation
solutions,74,year,VALIDITY,YEAR_OUT_OF_RANGE,1963.0,WARNING,Preserved for investigation
solutions,75,year,VALIDITY,YEAR_OUT_OF_RANGE,1963.0,WARNING,Preserved for investigation
solutions,76,year,VALIDITY,YEAR_OUT_OF_RANGE,1963.0,WARNING,Preserved for investigation
solutions,77,year,VALIDITY,YEAR_OUT_OF_RANGE,1963.0,WARNING,Preserved for investigation
solutions,78,year,VALIDITY,YEAR_OUT_OF_RANGE,1963.0,WARNING,Preserved for investigation
solutions,79,year,VALIDITY,YEAR_OUT_OF_RANGE,1963.0,WARNING,Preserved for investigation
solutions,80,year,VALIDITY,YEAR_OUT_OF_RANGE,1963.0,WARNING,Preserved for investigation
solutions,81,year,VALIDITY,YEAR_OUT_OF_RANGE,1964.0,WARNING,Preserved for investigation
solutions,82,year,VALIDITY,YEAR_OUT_OF_RANGE,1964.0,WARNING,Preserved for investigation
solutions,83,year,VALIDITY,YEAR_OUT_OF_RANGE,1964.0,WARNING,Preserved for investigation
solutions,84,year,VALIDITY,YEAR_OUT_OF_RANGE,1964.0,WARNING,Preserved for investigation
solutions,85,year,VALIDITY,YEAR_OUT_OF_RANGE,1964.0,WARNING,Preserved for investigation
solutions,86,year,VALIDITY,YEAR_OUT_OF_RANGE,1964.0,WARNING,Preserved for investigation
solutions,87,year,VALIDITY,YEAR_OUT_OF_RANGE,1964.0,WARNING,Preserved for investigation
